epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,417.942,1.07013,0.88069,1.20634,0.80343,0.84543,0.86645,0.5911,1.15435,0.85273,1.24721,0.0011882,0.0011882,0.0011882
43,429.444,1.06891,0.87318,1.21479,0.8178,0.79292,0.84728,0.5961,1.13217,0.90046,1.2521,0.0011684,0.0011684,0.0011684
44,440.069,1.08403,0.91914,1.21198,0.75702,0.79609,0.83138,0.5546,1.15555,1.06307,1.27336,0.0011486,0.0011486,0.0011486
45,447.776,1.09637,0.92186,1.23776,0.87466,0.81453,0.87849,0.60599,1.11624,0.7954,1.23517,0.0011288,0.0011288,0.0011288
46,459.411,1.0464,0.83678,1.20985,0.78999,0.77603,0.83456,0.55744,1.17426,0.95934,1.24724,0.001109,0.001109,0.001109
47,469.34,1.04894,0.84687,1.18495,0.81883,0.83281,0.87076,0.60558,1.13289,0.84817,1.22575,0.0010892,0.0010892,0.0010892
48,477.523,1.0632,0.83947,1.19204,0.85786,0.81865,0.86506,0.60029,1.08046,0.86453,1.18101,0.0010694,0.0010694,0.0010694
49,488.538,1.04689,0.85033,1.19698,0.87554,0.82111,0.87067,0.63509,1.05691,0.80397,1.21059,0.0010496,0.0010496,0.0010496
50,499.268,1.00429,0.81406,1.16521,0.83085,0.82125,0.86031,0.60967,1.10001,0.85018,1.22976,0.0010298,0.0010298,0.0010298
51,509.157,1.02424,0.81852,1.18528,0.84579,0.79589,0.86865,0.60828,1.06813,0.82888,1.20238,0.00101,0.00101,0.00101
52,517.127,1.01927,0.79335,1.16623,0.84211,0.80759,0.86421,0.59424,1.11011,0.84791,1.22069,0.0009902,0.0009902,0.0009902
53,528.33,0.99845,0.77962,1.1731,0.84866,0.76972,0.83908,0.58385,1.10084,0.84801,1.22703,0.0009704,0.0009704,0.0009704
54,538.243,0.99425,0.78015,1.14175,0.82633,0.87054,0.87968,0.63998,1.01328,0.80394,1.16756,0.0009506,0.0009506,0.0009506
55,545.927,0.98218,0.77485,1.15866,0.83611,0.85294,0.87899,0.63011,1.05846,0.80084,1.20144,0.0009308,0.0009308,0.0009308
56,558.346,0.97255,0.76844,1.14102,0.88144,0.78864,0.8731,0.63198,1.04575,0.81484,1.19836,0.000911,0.000911,0.000911
57,568.322,0.97284,0.75241,1.14748,0.85929,0.87697,0.88957,0.65153,1.0195,0.76848,1.18732,0.0008912,0.0008912,0.0008912
